wave_index,slug,title,venue,arxiv_url,code_url
39,39_fastscalablewarmst,"Fast, Scalable, Warm-Start Semidefinite Programming with Spectral Bundling and Sketching",,https://arxiv.org/abs/2312.11801,
40,40_finetuninglanguage,Fine-Tuning Language Models with Just Forward Passes,NeurIPS 2023,https://arxiv.org/abs/2305.17333,https://github.com/princeton-nlp/MeZO
41,41_flexibleattentionb,Flexible Attention-Based Multi-Policy Fusion for Efficient Deep Reinforcement Learning,NeurIPS 2023,https://arxiv.org/abs/2210.03729,https://github.com/Pascalson/KGRL.git
42,42_g2n2,G2N2: Weisfeiler and Lehman go grammatical,ICLR 2024,https://arxiv.org/abs/2303.01590,https://github.com/JPiquenot/Wesfeiler-and-Lehman-go-grammatical
43,43_generationprobabil,Generation Probabilities are Not Enough: Improving Error Highlighting for AI Code Suggestions,NeurIPS 2022,https://arxiv.org/abs/2302.07248,
44,44_geomformer,GeoMFormer: A General Architecture for Geometric Molecular Representation Learning,ICML 2024,https://arxiv.org/abs/2406.16853,https://github.com/c-tl/GeoMFormer
45,45_georeasonergeoloca,GeoReasoner: Geo-localization with Reasoning in Street Views using a Large Vision-Language Model,ICML 2024,https://arxiv.org/abs/2406.18572,https://github.com/lingli1996/GeoReasoner
46,46_highperformancetem,High-Performance Temporal Reversible Spiking Neural Networks with O(L) Training Memory and O(1) Inference Cost,ICML 2024,https://arxiv.org/abs/2405.16466,https://github.com/BICLab/T-RevSNN
47,47_howdononlineartran,How Do Nonlinear Transformers Learn and Generalize in In-Context Learning?,ICML 2024,https://arxiv.org/abs/2402.15607,
48,48_identifyingthecont,Identifying the Context Shift between Test Benchmarks and Production Data,,https://arxiv.org/abs/2207.01059,
49,49_improvingequilibri,Improving equilibrium propagation without weight symmetry through Jacobian homeostasis,ICLR 2024,https://arxiv.org/abs/2309.02214,https://github.com/Laborieux-Axel/generalized-holo-ep
50,50_infinitygantowards,InfinityGAN: Towards Infinite-Pixel Image Synthesis,ICLR 2022,https://arxiv.org/abs/2104.03963,https://github.com/hubert0527/InfinityGAN
51,51_informationgainpro,Information Gain Propagation: A New Way to Graph Active Learning with Soft Labels,ICLR 2022,https://arxiv.org/abs/2203.01093,https://github.com/zwt233/IGP
52,52_innerclassifierfre,Inner Classifier-Free Guidance and Its Taylor Expansion for Diffusion Models,ICLR 2024,https://openreview.net/forum?id=0QAzIMq32X,
53,53_inputgradientspace,Input-gradient space particle inference for neural network ensembles,ICLR 2024,https://arxiv.org/abs/2306.02775,https://github.com/AaltoPML/FoRDE
54,54_inverseapproximati,Inverse Approximation Theory for Nonlinear Recurrent Neural Networks,ICLR 2024,https://arxiv.org/abs/2305.19190,
55,55_inversetransitionl,Bayesian Inverse Transition Learning for Offline Settings,ICML 2023,https://arxiv.org/abs/2308.05075,
56,56_langevinautoencode,Langevin Autoencoders for Learning Deep Latent Variable Models,NeurIPS 2022,https://arxiv.org/abs/2209.07036,https://github.com/iShohei220/LAE
57,57_learningtoreachgoa,Learning to Reach Goals via Diffusion,ICML 2024,https://arxiv.org/abs/2310.02505,https://github.com/vineetjain96/merlin
58,58_lightschrdingerbri,Light Schrödinger Bridge,ICLR 2024,https://arxiv.org/abs/2310.01174,https://github.com/ngushchin/LightSB
59,59_matrixcompressionv,Matrix Compression via Randomized Low Rank and Low Precision Factorization,NeurIPS 2023,https://arxiv.org/abs/2310.11028,https://github.com/pilancilab/matrix-compressor
60,60_mechanisticmodecon,Mechanistic Mode Connectivity,ICML 2023,https://arxiv.org/abs/2211.08422,https://github.com/EkdeepSLubana/MMC
61,61_moccasin,Moccasin: Efficient Tensor Rematerialization for Neural Networks,ICML 2023,https://arxiv.org/abs/2304.14463,
