[tts/edge] title (823 chars, voice=en-US-AndrewNeural) -> title.mp3
[tts/edge] problem (677 chars, voice=en-US-AndrewNeural) -> problem.mp3
[tts/edge] motivation (723 chars, voice=en-US-AndrewNeural) -> motivation.mp3
[tts/edge] contribution (741 chars, voice=en-US-AndrewNeural) -> contribution.mp3
[tts/edge] dataset-benchmark (737 chars, voice=en-US-AndrewNeural) -> dataset-benchmark.mp3
[tts/edge] key-result (734 chars, voice=en-US-AndrewNeural) -> key-result.mp3
[tts/edge] ablation-study (744 chars, voice=en-US-AndrewNeural) -> ablation-study.mp3
[tts/edge] takeaway (681 chars, voice=en-US-AndrewNeural) -> takeaway.mp3

[tts] wrote 8 clips to /datadisk/project/ResearchStudio/benchmarks/paper2poster/runs/093_sparse_parameterization_for_epitomic_dataset_dis/093_sparse_parameterization_for_epitomic_dataset_dis/assets/audio (provider=edge, voice=en-US-AndrewNeural)
